name;category;norwegian_title;norwegian_url;neutral_paragraph_no;prompt_1;prompt_2;prompt_3
Judaism;judaism;Jødedom;https://no.wikipedia.org/wiki/J%C3%B8dedom;Jødedommen er den eldste av de tre store monoteistiske verdensreligionene, jødenes religiøse kultur og moderreligion for kristendommen. Trosprinsippene og historien til jødedommen danner hoveddelen av grunnstammen til de abrahamittiske religionene, innbefattet kristendommen og islam (med avledede religion bahai). Den hebraiske Bibelen, Tanákh, er delt inn i tre skrifter, Toraen (Loven), Neviim (profetene) og Ketuviim (skriftene). Tanákhen er også en hellig skrift for de kristne og kalles av dem Det gamle testamentet.;Tilhengere av Jødedom tror ...;Jødedom lærer at ...;En person som praktiserer Jødedom pleier å ...
Messianic_Judaism;judaism;Messiansk jødedom;https://no.wikipedia.org/wiki/Messiansk_j%C3%B8dedom;Messiansk jødedom er en synkretisk religiøs bevegelse som kombinerer elementer fra kristendom – hvorav det viktigste er troen på Jesus som messias – og elementer fra jødedom og jødisk tradisjon. Begrepet «Messiansk jødedom» oppsto på 1960-1970-tallet, men selve troen og praksisen stammer fra etter Jesu' tid og bygger på tanken at hans tolv første disipler alle var jøder og fulgte jødisk kultur.;Tilhengere av Messiansk jødedom tror ...;Messiansk jødedom lærer at ...;En person som praktiserer Messiansk jødedom pleier å ...
Karaite_Judaism;judaism;Karaitter;https://no.wikipedia.org/wiki/Karaitter;Karaittene eller kareerne er en religiøs jødisk gruppe. Karaittene kjennetegnes ved at de forkaster de muntlige tradisjoner (Misjná og Talmúd) som følges innen rabbanittisk jødedom. Navnet karaitter kommer fra qaraim, som betyr opplesere, det vil si opplesere av skriften. Det nøyaktige antallet på tilhengere i dag er usikkert, men man regner med at det kan være omkring 50 000. De fleste bor i Israel, med Ramla som hovedsete, men det finnes noen få medlemmer også i USA og andre steder. De utgjør altså en meget liten gruppe i dag i forhold til de fleste av religionens tilhengere.;Tilhengere av Karaitt tror ...;Karaitter lærer at ...;En person som praktiserer Karaitt pleier å ...
Rabbinic_Judaism;judaism;Rabbanittisk jødedom;https://no.wikipedia.org/wiki/Rabbanittisk_j%C3%B8dedom;Rabbanittisk jødedom (hebraisk: יהדות רבנית, Yahadut Rabanit) er den hovedretningen av jødedommen som regner Misjná og Talmúd som religiøst autoritative skrifter ved siden av Tanákh. Rabbanittene blir regnet som arvtagere etter fariseerne.;Tilhengere av Rabbanittisk jødedom tror ...;Rabbanittisk jødedom lærer at ...;En person som praktiserer Rabbanittisk jødedom pleier å ...
Conservative_Judaism;judaism;Konservativ jødedom;https://no.wikipedia.org/wiki/Konservativ_j%C3%B8dedom;Konservativ jødedom er en retning innen jødedommen som ønsker å tilpasse seg moderne liv og adferd, men samtidig å holde fast ved den jødiske Toraen og Halakha. Den konservative jødedommen har lagt vekt på å tilpasse seg det omliggende samfunn i utdanning, omgangsformer og andre kulturuttrykk, samtidig som disse tilpasningene ikke skulle stride mot bibelske og rabbinske retningslinjer. Blant annet har mange vært opptatt av å opprettholde matreglene og sabbaten. Innenfor konservativ jødedom er det stor spennvidde fra det nær ortodokse til den nær reformerte. Noen menigheter har kvinnelige rabbinere, andre har avvist det. Bevegelsen har stor oppslutning i USA, der den omfatter omkring en og en halv million medlemmer i 800 synagoger. Konservative jøder legger vekt på den moderne staten Israel, hebraisk som jødedommens språk, fellesskap blant jøder over hele verden. Konservativ jødedom beskrives som en av hovedretningene innen jødedom, ved siden av ortodoks jødedom, reformjødedom og hasidisme.;Tilhengere av Konservativ jødedom tror ...;Konservativ jødedom lærer at ...;En person som praktiserer Konservativ jødedom pleier å ...
Humanistic_Judaism;judaism;Humanistisk jødedom;https://no.wikipedia.org/wiki/Humanistisk_j%C3%B8dedom;Humanistisk jødedom, er den formen for livssyn hvor man har et humanistisk syn på livet, men likevel troen på Gud og/eller de jødiske idealene.;Tilhengere av Humanistisk jødedom tror ...;Humanistisk jødedom lærer at ...;En person som praktiserer Humanistisk jødedom pleier å ...
Orthodox_Judaism;judaism;Ortodoks jødedom;https://no.wikipedia.org/wiki/Ortodoks_j%C3%B8dedom;For ultraortodoks jødedom, se Haredisk jødedom.;Tilhengere av Ortodoks jødedom tror ...;Ortodoks jødedom lærer at ...;En person som praktiserer Ortodoks jødedom pleier å ...
Haredi_Judaism;judaism;Haredisk jødedom;https://no.wikipedia.org/wiki/Haredisk_j%C3%B8dedom;Haredisk jødedom eller ultraortodoks jødedom er en konservativ fløy av ortodoks jødedom som har et fundamentalistisk syn på den religiøse tradisjonen og som oftest er sterke motstandere av sekularisme og i større eller mindre grad andre sider ved det moderne vestlige samfunnet. Blant harediske jøder finnes det et relativt vidt politisk spenn – for eksempel er mange harediske grupper sterkt sionistiske, mens andre grupper (som f.eks. Neturei Karta) er erklærte motstandere av staten Israel, ettersom de hevder at den er et inngrep i Guds plan med det jødiske folk. Hovedtendensen, politisk sett, er at Haredím sympatiserer med høyresiden i generelle politiske spørsmål.;Tilhengere av Haredisk jødedom tror ...;Haredisk jødedom lærer at ...;En person som praktiserer Haredisk jødedom pleier å ...
Modern_Orthodox_Judaism;judaism;Moderne ortodoks jødedom;https://nn.wikipedia.org/wiki/Moderne_ortodoks_j%C3%B8dedom;Moderne ortodoks jødedom er den retninga av ortodoks jødedom som held på at ein må taka omsyn til det moderne samfunnet og til vitskap. Moderne ortodoks jødedom inkluderer retningane sentristisk ortodoks jødedom og feministisk ortodoks jødedom.;Tilhengere av Moderne ortodoks jødedom tror ...;Moderne ortodoks jødedom lærer at ...;En person som praktiserer Moderne ortodoks jødedom pleier å ...
Reconstructionist_Judaism;judaism;Rekonstruksjonistisk jødedom;https://no.wikipedia.org/wiki/Rekonstruksjonistisk_j%C3%B8dedom;Rekonstruksjonistisk jødedom er en retning av rabbanittisk jødedom som er karakterisert ved:;Tilhengere av Rekonstruksjonistisk jødedom tror ...;Rekonstruksjonistisk jødedom lærer at ...;En person som praktiserer Rekonstruksjonistisk jødedom pleier å ...
Reform_Judaism;judaism;Reformjødedom;https://no.wikipedia.org/wiki/Reformj%C3%B8dedom;Reformjødedom eller liberal jødedom ser den jødiske tradisjonen i lys av historien og vil tilpasse den til samtiden. Retningen vokste fram på 1800-tallet under inspirasjon av de tyske rabbinerne Abraham Geiger og Samuel Holdheim. Den er den største av de jødiske retningene i USA med 1,4 millioner medlemmer, men i Israel står den svært svakt. Bl.a. får rabbinerne deres ikke lov til å vie ektepar der.;Tilhengere av Reformjødedom tror ...;Reformjødedom lærer at ...;En person som praktiserer Reformjødedom pleier å ...
Christianity;christianity;Kristendom;https://no.wikipedia.org/wiki/Kristendom;Kristendom er en monoteistisk religion utgått fra jødedommen basert på livet og læren til Jesus Kristus. Omtrent 2,4 milliarder av jordens befolkning regnes som kristne, og i sine forskjellige avskygninger er den verdens største religiøse trosretning, enda den opplever tilbakegang i den vestlige verden, men framgang i Afrika og store deler av Asia.;Tilhengere av Kristendom tror ...;Kristendom lærer at ...;En person som praktiserer Kristendom pleier å ...
Eastern_Christianity;christianity;Østkirken;https://no.wikipedia.org/wiki/%C3%98stkirken;Som østkirken (eller orientalske kirker) pleide man å betegne de ikke-reformerte kristne kirkesamfunnene som ikke bruker den latinske ritus i sin liturgi. De ble definert i motsetning til «vestkirken», dvs. den romersk-katolske kirke, men utgjør ikke noen ensformet gruppe av kirker, verken historisk eller teologisk.;Tilhengere av Østkirken tror ...;Østkirken lærer at ...;En person som praktiserer Østkirken pleier å ...
Christian_fundamentalism;christianity;Fundamentalistisk kristendom;https://nn.wikipedia.org/wiki/Fundamentalistisk_kristendom;Fundamentalisme er ei evangelisk kristen rørsle som oppstod i USA rundt 1900. Fundamentalisme er eigentleg berre klassisk protestantisme kokt ned til 5 punkt, dei 5 fundamenta. Desse er:;Tilhengere av Fundamentalistisk kristendom tror ...;Fundamentalistisk kristendom lærer at ...;En person som praktiserer Fundamentalistisk kristendom pleier å ...
